folder,filename,sharpness,contrast,noise,lighting
evening rain calm sea/images,0_CamFeed_0.png,1148.9805323295584,8.518110684618783,14.153355027442192,13.949867621527778
evening rain calm sea/images,0_CamFeed_1.png,949.7961218192205,8.955336950435385,19.22937638042323,19.36314453125
evening rain calm sea/images,0_CamFeed_10.png,659.4030930548197,9.994442846092994,55.7911962371809,59.32188259548611
evening rain calm sea/images,0_CamFeed_100.png,845.7791762768729,10.228900571471094,45.053744342462714,57.83413519965278
evening rain calm sea/images,0_CamFeed_1000.png,859.2457088439897,9.205367522953056,57.3824218637415,73.35272135416666
evening rain calm sea/images,0_CamFeed_1001.png,824.2022409156507,8.875099642437512,58.84037503693557,71.81351345486111
evening rain calm sea/images,0_CamFeed_1002.png,817.6282818194305,9.006498124328992,58.483528500411225,72.30736870659722
evening rain calm sea/images,0_CamFeed_1003.png,837.3682082957691,9.153493908767691,57.77709016232955,72.70159613715278
evening rain calm sea/images,0_CamFeed_1004.png,788.5298329679595,9.042240225183722,58.079214408042716,72.000478515625
evening rain calm sea/images,0_CamFeed_1005.png,867.5439591403348,9.233120449655534,57.42201353807923,73.05495334201389
evening rain calm sea/images,0_CamFeed_1006.png,759.3352365446682,8.972082109436595,58.70370369793007,71.39775390625
evening rain calm sea/images,0_CamFeed_1007.png,852.0347327921256,9.09698950746665,58.10503746165361,71.81117296006944
evening rain calm sea/images,0_CamFeed_1008.png,796.1524215866358,9.058049194408989,59.209861117536875,72.36383029513888
evening rain calm sea/images,0_CamFeed_1009.png,844.8820655137803,9.086348171310506,58.19127674913209,71.5472092013889
evening rain calm sea/images,0_CamFeed_101.png,741.1037213149414,10.377782424755086,43.47511246107578,58.91279730902778
evening rain calm sea/images,0_CamFeed_1010.png,813.145369598007,9.405787756268596,57.017976927809784,73.04797309027778
evening rain calm sea/images,0_CamFeed_1011.png,805.5480235834183,9.180832212905743,58.2891006772514,71.85559461805556
evening rain calm sea/images,0_CamFeed_1012.png,862.5171994333798,9.144643466164435,58.14313277931683,72.20507486979167
evening rain calm sea/images,0_CamFeed_1013.png,789.4267587341308,8.99116235166665,58.9877461199733,71.11810112847222
evening rain calm sea/images,0_CamFeed_1014.png,879.850626922465,8.990333048594628,58.19574564563384,71.05169596354166
evening rain calm sea/images,0_CamFeed_1015.png,766.4460840335375,9.271885064406776,57.280431850353146,71.70947157118056
evening rain calm sea/images,0_CamFeed_1016.png,854.7074783098846,9.245208969454875,57.5568537376496,71.8556228298611
evening rain calm sea/images,0_CamFeed_1017.png,787.8875606180778,9.056823174101636,58.180181659679555,70.96222005208334
evening rain calm sea/images,0_CamFeed_1018.png,806.2202377445738,9.130053359589873,57.80381931229939,71.5767068142361
evening rain calm sea/images,0_CamFeed_1019.png,803.4913553464488,9.193761861254528,57.58210194345281,70.98925672743056
evening rain calm sea/images,0_CamFeed_102.png,858.9150700399504,10.243938968496336,45.013090405994625,57.686634114583335
evening rain calm sea/images,0_CamFeed_1020.png,782.4848632189663,9.491035438203575,55.829423746803016,72.71259006076389
evening rain calm sea/images,0_CamFeed_1021.png,815.6648687065955,9.281912562864013,56.81378741112203,71.47195421006944
evening rain calm sea/images,0_CamFeed_1022.png,732.9667569834343,9.144159929008879,57.12791776255597,70.46846028645834
evening rain calm sea/images,0_CamFeed_1023.png,801.4017489679785,9.194190272428834,56.7594515362465,70.891572265625
evening rain calm sea/images,0_CamFeed_1024.png,668.3320546085203,9.086510338897375,55.7239329485347,69.09944661458333
evening rain calm sea/images,0_CamFeed_1025.png,683.5495934028615,9.381405219309572,53.12101354952062,70.71983506944444
evening rain calm sea/images,0_CamFeed_1026.png,707.2476117653126,9.014416320866413,55.90759371540583,69.21663736979167
evening rain calm sea/images,0_CamFeed_1027.png,680.5379918524663,9.371564358899004,54.01844128302602,69.94312608506945
evening rain calm sea/images,0_CamFeed_1028.png,739.80796122907,9.094669913379668,55.71423917964074,68.63620008680556
evening rain calm sea/images,0_CamFeed_1029.png,717.4633949616222,9.062636672819984,56.13927504644894,68.8249338107639
evening rain calm sea/images,0_CamFeed_103.png,747.0314444108174,10.18083157690089,45.76625217129419,56.69313151041667
evening rain calm sea/images,0_CamFeed_1030.png,704.7450052206145,9.433118981755628,54.09355323092089,70.5814963107639
evening rain calm sea/images,0_CamFeed_1031.png,687.1785579419725,8.937064808266346,57.09304211193691,68.21794813368055
evening rain calm sea/images,0_CamFeed_1032.png,797.3566142203711,9.049436165964982,56.3759499678795,68.52790473090278
evening rain calm sea/images,0_CamFeed_1033.png,739.4680377413328,9.243434113940014,55.97823121151499,69.77680555555555
evening rain calm sea/images,0_CamFeed_1034.png,816.2686084606487,9.171490681423846,56.3577068507361,70.69374565972223
evening rain calm sea/images,0_CamFeed_1035.png,783.9972142180973,9.072996914111247,56.662247880423905,69.571484375
evening rain calm sea/images,0_CamFeed_1036.png,830.0487912324083,9.183292451134045,57.31123020819009,71.31229383680555
evening rain calm sea/images,0_CamFeed_1037.png,828.5313544161575,9.220497656847517,56.54185602192853,73.45293077256945
evening rain calm sea/images,0_CamFeed_1038.png,792.635953779051,9.345251528368417,55.73831431034708,74.91277994791666
evening rain calm sea/images,0_CamFeed_1039.png,870.845777220407,9.46767102855085,56.626046115256926,82.48292534722222
evening rain calm sea/images,0_CamFeed_104.png,882.4217443619292,10.14543398426931,45.60503171489857,57.274813368055554
evening rain calm sea/images,0_CamFeed_1040.png,802.948812902361,9.584642403797888,54.31687528034216,85.9047384982639
